Kabupaten/Kota,Jumlah Desa
Kotawaringin Barat,97
Kotawaringin Timur,185
Kapuas,231
Barito Selatan,93
Barito Utara,103
Sukamara,32
Lamandau,90
Seruyan,100
Katingan,161
Pulang Pisau,99
Gunung Mas,128
Barito Timur,103
Murung Raya,125
Kota Palangka Raya,30
