Kabupaten/Kota,Jumlah Desa
Tanah Laut,135
Kota Baru,202
Banjar,290
Barito Kuala,201
Tapin,135
Hulu Sungai Selatan,148
Hulu Sungai Tengah,169
Hulu Sungai Utara,219
Tabalong,131
Tanah Bumbu,157
Balangan,156
Kota Banjarmasin,52
Kota Banjar Baru,20
