Kabupaten/Kota,Jumlah Desa
Sambas,195
Bengkayang,124
Landak,156
Mempawah,67
Sanggau,175
Ketapang,262
Sintang,407
Kapuas Hulu,282
Sekadau,94
Melawi,169
Kayong Utara,43
Kubu Raya,128
Kota Pontianak,29
Kota Singkawang,26
